timestamp,city,pm25,pm10,co,no2,so2,o3,dust,uv_index,temp,humidity,wind_speed,pressure,aqi,hour,day,weekday,month,year,hour_sin,hour_cos,month_sin,month_cos,season,is_weekend,is_rush_hour,pm25_rolling_24h_mean,pm25_rolling_24h_std,pm25_rolling_24h_max,pm10_rolling_24h_mean,pm10_rolling_24h_std,pm10_rolling_24h_max,o3_rolling_24h_mean,o3_rolling_24h_std,o3_rolling_24h_max,no2_rolling_24h_mean,no2_rolling_24h_std,no2_rolling_24h_max,so2_rolling_24h_mean,so2_rolling_24h_std,so2_rolling_24h_max,co_rolling_24h_mean,co_rolling_24h_std,co_rolling_24h_max,temp_rolling_24h_mean,temp_rolling_24h_std,temp_rolling_24h_max,humidity_rolling_24h_mean,humidity_rolling_24h_std,humidity_rolling_24h_max,pm25_rolling_7d_mean,pm10_rolling_7d_mean,aqi_rolling_7d_mean,pm25_change_1h,pm25_change_3h,pm25_change_24h,pm25_pct_change,pm10_change_1h,pm10_change_3h,pm10_change_24h,pm10_pct_change,o3_change_1h,o3_change_3h,o3_change_24h,o3_pct_change,no2_change_1h,no2_change_3h,no2_change_24h,no2_pct_change,aqi_change_1h,aqi_change_3h,aqi_change_24h,aqi_pct_change,pm_ratio,combined_pollutant_index,temp_humidity_interaction,aqi_change_rate,aqi_volatility,pm25_lag_1h,pm25_lag_3h,pm25_lag_24h,pm10_lag_1h,pm10_lag_3h,pm10_lag_24h,aqi_lag_1h,aqi_lag_3h,aqi_lag_24h,target_aqi
2025-11-10 00:00:00,Karachi,48.7,67.8,2304.0,69.8,22.3,5.0,30.0,0.0,22.4,72,4.6,1013.2,133.50251256281408,0,10,0,11,2025,0.0,1.0,-0.5000000000000004,0.8660254037844384,4,0,0,48.7,0.42426406871193206,48.7,67.8,0.28284271247462306,67.8,5.0,0.7071067811865476,5.0,69.8,0.14142135623730648,69.8,22.3,0.4242640687119295,22.3,2304.0,369.10973977937783,2304.0,22.4,0.7071067811865476,22.4,72.0,2.1213203435596424,72.0,48.7,67.8,133.50251256281408,-0.6000000000000014,-9.800000000000004,3.5,-1.2320328542094527,0.4000000000000057,-11.599999999999994,-5.599999999999994,0.5899705014749346,-1.0,4.0,1.0,-19.999999999999996,0.20000000000000284,-9.5,7.0,0.2865329512893977,-1.4773869346733761,-24.130653266331663,8.618090452261328,-1.106636052245269,0.7078488372093024,42.720000000000006,16.128,-0.011066360522452736,1.044670319943961,48.7,48.7,48.7,67.8,67.8,67.8,133.50251256281408,133.50251256281408,133.50251256281408,132.0251256281407
2025-11-10 01:00:00,Karachi,48.1,68.2,1782.0,70.0,21.7,4.0,31.0,0.0,21.4,75,5.5,1012.8,132.0251256281407,1,10,0,11,2025,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384,4,0,0,48.400000000000006,0.42426406871193206,48.7,68.0,0.28284271247462306,68.2,4.5,0.7071067811865476,5.0,69.9,0.14142135623730648,70.0,22.0,0.4242640687119295,22.3,2043.0,369.10973977937783,2304.0,21.9,0.7071067811865476,22.4,73.5,2.1213203435596424,75.0,48.400000000000006,68.0,132.7638190954774,-0.6000000000000014,-9.800000000000004,3.5,-1.2320328542094527,0.4000000000000057,-11.599999999999994,-5.599999999999994,0.5899705014749346,-1.0,4.0,1.0,-19.999999999999996,0.20000000000000284,-9.5,7.0,0.2865329512893977,-1.4773869346733761,-24.130653266331663,8.618090452261328,-1.106636052245269,0.6950867052023121,42.4,16.05,-0.011066360522452736,1.044670319943961,48.7,48.7,48.7,67.8,67.8,67.8,133.50251256281408,133.50251256281408,133.50251256281408,123.4070351758794
2025-11-10 02:00:00,Karachi,44.6,64.3,1345.0,67.7,20.6,5.0,31.0,0.0,20.7,75,5.4,1012.9,123.4070351758794,2,10,0,11,2025,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384,4,0,0,47.13333333333333,2.2143471573656535,48.7,66.76666666666667,2.145538005567215,68.2,4.666666666666667,0.5773502691896257,5.0,69.16666666666667,1.2741009902410942,70.0,21.53333333333333,0.8621678104251708,22.3,1810.3333333333333,480.1274136448921,2304.0,21.5,0.8544003745317532,22.4,74.0,1.7320508075688772,75.0,47.13333333333333,66.76666666666667,129.64489112227807,-3.5,-9.800000000000004,3.5,-7.276507276507271,-3.9000000000000057,-11.599999999999994,-5.599999999999994,-5.718475073313789,1.0,4.0,1.0,25.0,-2.299999999999997,-9.5,7.0,-3.2857142857142807,-8.618090452261299,-24.130653266331663,8.618090452261328,-6.5276139002017235,0.6830015313935682,40.440000000000005,15.525,-0.06527613900201723,5.452412598538543,48.1,48.7,48.7,68.2,67.8,67.8,132.0251256281407,133.50251256281408,133.50251256281408,109.37185929648241
2025-11-10 03:00:00,Karachi,38.9,56.2,1004.0,60.3,18.7,9.0,29.0,0.0,20.2,76,3.8,1012.5,109.37185929648241,3,10,0,11,2025,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384,4,0,0,45.075,4.496202101032979,48.7,64.125,5.56619259458384,68.2,5.75,2.217355782608345,9.0,66.95,4.553753030925887,70.0,20.825,1.581929201955639,22.3,1608.75,562.3387917142713,2304.0,21.174999999999997,0.953502316025854,22.4,74.5,1.7320508075688772,76.0,45.075,64.125,124.57663316582915,-5.700000000000003,-9.800000000000004,3.5,-12.780269058295968,-8.099999999999994,-11.599999999999994,-5.599999999999994,-12.597200622083971,4.0,4.0,1.0,80.0,-7.400000000000006,-9.5,7.0,-10.930576070901044,-14.035175879396988,-24.130653266331663,8.618090452261328,-11.373075983386272,0.68006993006993,36.61999999999999,15.352,-0.11373075983386272,11.071050399528435,44.6,48.7,48.7,64.3,67.8,67.8,123.4070351758794,133.50251256281408,133.50251256281408,94.53218884120172
2025-11-10 04:00:00,Karachi,32.8,47.3,749.0,50.4,16.4,15.0,26.0,0.0,19.8,79,1.4,1012.3,94.53218884120172,4,10,0,11,2025,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,4,0,0,42.62,6.730304599347646,48.7,60.760000000000005,8.936050581772689,68.2,7.6,4.560701700396552,15.0,63.64,8.386477210366701,70.0,19.94,2.4068651811017605,22.3,1436.8,620.4858580177311,2304.0,20.9,1.0295630140987007,22.4,75.4,2.5099800796022254,79.0,42.62,60.760000000000005,118.56774430090366,-6.100000000000001,-15.300000000000004,3.5,-15.681233933161954,-8.900000000000006,-20.900000000000006,-5.599999999999994,-15.836298932384352,6.0,11.0,1.0,66.66666666666667,-9.899999999999999,-19.6,7.0,-16.417910447761198,-14.839670455280697,-37.492936786938984,8.618090452261328,-13.568088309675442,0.6790890269151139,32.38,15.642000000000001,-0.13568088309675436,16.50635770443624,38.9,48.1,48.7,56.2,68.2,67.8,109.37185929648241,132.0251256281407,133.50251256281408,89.48497854077253
2025-11-10 05:00:00,Karachi,30.4,46.3,831.0,37.6,13.8,26.0,24.0,0.0,19.0,83,2.4,1012.2,89.48497854077253,5,10,0,11,2025,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384,4,0,0,40.583333333333336,7.818290520738325,48.7,58.35,9.93634741743665,68.2,10.666666666666666,8.547904226573124,26.0,59.300000000000004,13.010764773832475,70.0,18.916666666666668,3.3041892601161145,22.3,1335.8333333333333,607.5917763323222,2304.0,20.583333333333332,1.2040210407906786,22.4,76.66666666666667,3.8297084310253497,83.0,40.583333333333336,58.35,113.72061667421514,-2.3999999999999986,-14.200000000000003,3.5,-7.317073170731703,-1.0,-18.0,-5.599999999999994,-2.114164904862581,11.0,21.0,1.0,73.33333333333334,-12.799999999999997,-30.1,7.0,-25.396825396825395,-5.047210300429185,-33.92205663510687,8.618090452261328,-5.339144647235083,0.6427061310782242,30.82,15.77,-0.05339144647235087,18.945599835050988,32.8,44.6,48.7,47.3,64.3,67.8,94.53218884120172,123.4070351758794,133.50251256281408,96.84549356223175
2025-11-10 06:00:00,Karachi,33.9,51.1,1649.0,41.7,15.9,19.0,23.0,0.0,19.0,83,2.9,1012.3,96.84549356223175,6,10,0,11,2025,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384,4,0,0,39.628571428571426,7.5709343953733805,48.7,57.31428571428571,9.475482146295347,68.2,11.857142857142858,8.414839499926533,26.0,56.785714285714285,13.613158900053111,70.0,18.485714285714288,3.224607764999527,22.3,1380.5714285714287,567.1422094274818,2304.0,20.357142857142858,1.2514753198487292,22.4,77.57142857142857,4.237025012007946,83.0,39.628571428571426,57.31428571428571,111.30988480107466,3.5,-5.0,3.5,11.513157894736835,4.800000000000004,-5.100000000000001,-5.599999999999994,10.367170626349909,-7.0,10.0,1.0,-26.923076923076927,4.100000000000001,-18.599999999999994,7.0,10.904255319148938,7.360515021459221,-12.52636573425066,8.618090452261328,8.225419664268575,0.6506717850287908,32.32,15.77,0.08225419664268578,18.433516342271705,30.4,38.9,48.7,46.3,56.2,67.8,89.48497854077253,109.37185929648241,133.50251256281408,123.6532663316583
2025-11-10 07:00:00,Karachi,44.7,62.4,2806.0,47.0,18.9,11.0,21.0,0.05,18.7,84,1.8,1013.1,123.6532663316583,7,10,0,11,2025,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384,4,0,1,40.2625,7.235021472966461,48.7,57.95,8.954966698510306,68.2,11.75,7.796519369931321,26.0,55.5625,13.069587106823885,70.0,18.5375,2.9889976819758743,22.3,1558.75,727.7919149238822,2806.0,20.15,1.2983506020002025,22.4,78.375,4.533604683755677,84.0,40.2625,57.95,112.85280749239762,10.800000000000004,11.900000000000006,3.5,31.85840707964602,11.299999999999997,15.100000000000001,-5.599999999999994,22.113502935420737,-8.0,-4.0,1.0,-42.10526315789473,5.299999999999997,-3.3999999999999986,7.0,12.709832134292554,26.80777276942655,29.121077490456585,8.618090452261328,27.680970774546367,0.7050473186119874,36.8,15.708,0.2768097077454636,17.615258534265713,33.9,32.8,48.7,51.1,47.3,67.8,96.84549356223175,94.53218884120172,133.50251256281408,151.92939936775554
2025-11-10 08:00:00,Karachi,57.3,70.8,3355.0,47.3,22.2,14.0,20.0,0.6,20.2,76,1.8,1013.8,151.92939936775554,8,10,0,11,2025,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,4,0,1,42.15555555555555,8.834889799979273,57.3,59.37777777777777,9.408211543351076,70.8,12.0,7.33143914930759,26.0,54.644444444444446,12.531870482006179,70.0,18.944444444444443,3.050865086787317,22.3,1758.3333333333333,906.626990553447,3355.0,20.155555555555555,1.214610134066804,22.4,78.11111111111111,4.31405970184826,84.0,42.15555555555555,59.37777777777777,117.19465103410406,12.599999999999994,26.9,3.5,28.18791946308723,8.399999999999999,24.5,-5.599999999999994,13.461538461538458,3.0,-12.0,1.0,27.27272727272727,0.29999999999999716,9.699999999999996,7.0,0.6382978723404209,28.276133036097235,62.444420826983006,8.618090452261328,22.86727546707583,0.798050139275766,42.31999999999999,15.352,0.2286727546707583,21.004157080000006,44.7,30.4,48.7,62.4,46.3,67.8,123.6532663316583,89.48497854077253,133.50251256281408,104.69346733668341
2025-11-10 09:00:00,Karachi,37.0,51.5,2678.0,38.1,26.2,40.0,20.0,1.95,22.9,67,1.4,1014.2,104.69346733668341,9,10,0,11,2025,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384,4,0,1,41.64,8.48766425139711,57.3,58.589999999999996,9.213329715387616,70.8,14.8,11.232888220657134,40.0,52.989999999999995,12.921682896932927,70.0,19.669999999999998,3.6793870262434867,26.2,1850.3,902.895841168847,3355.0,20.43,1.4368561359981578,22.9,77.0,5.3748384988656985,84.0,41.64,58.589999999999996,115.94453266436199,-20.299999999999997,3.1000000000000014,3.5,-35.42757417102966,-19.299999999999997,0.3999999999999986,-5.599999999999994,-27.25988700564972,26.0,21.0,1.0,185.71428571428572,-9.199999999999996,-3.6000000000000014,7.0,-19.450317124735715,-47.235932031072124,7.84797377445166,8.618090452261328,-31.090712019952317,0.7047619047619048,38.559999999999995,15.343,-0.31090712019952316,20.193641880507023,57.3,33.9,48.7,70.8,51.1,67.8,151.92939936775554,96.84549356223175,133.50251256281408,82.54506437768241
